City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Wonthaggi,AU,2022-07-12 00:57:30,-38.6044,145.5913,48.81,90,100,7.18
68,Chuy,UY,2022-07-12 00:57:32,-33.6971,-53.4616,49.82,92,100,16.33
69,Yulara,AU,2022-07-12 00:57:33,-25.2406,130.9889,55.63,53,0,16.2
70,Daru,PG,2022-07-12 00:57:34,-9.0763,143.2092,79.25,84,88,14.29
71,Avarua,CK,2022-07-12 00:57:35,-21.2078,-159.775,77.05,61,100,5.75
72,Kirakira,SB,2022-07-12 00:57:35,-10.4544,161.9205,85.12,65,3,6.11
73,Kodiak,US,2022-07-12 00:57:36,57.79,-152.4072,60.85,78,23,6.49
74,Port Alfred,ZA,2022-07-12 00:57:37,-33.5906,26.891,57.06,73,0,9.6
75,Prieska,ZA,2022-07-12 00:57:37,-29.6641,22.7474,45.9,67,0,2.59
76,Severo-Kurilsk,RU,2022-07-12 00:57:38,50.6789,156.125,59.97,84,23,6.98
77,Horqueta,PY,2022-07-12 00:57:39,-23.3428,-57.0597,65.17,74,100,11.99
78,Portland,US,2022-07-12 00:55:33,45.5234,-122.6762,97.56,38,91,8.01
79,Tuktoyaktuk,CA,2022-07-12 00:57:42,69.4541,-133.0374,48.2,93,100,5.75
80,Saint-Philippe,RE,2022-07-12 00:57:43,-21.3585,55.7679,65.21,76,56,15.48
81,Cairo,EG,2022-07-12 00:54:46,30.0626,31.2497,75.96,78,0,6.91
82,Meulaboh,ID,2022-07-12 00:57:44,4.1363,96.1285,75.76,87,100,6.85
83,Kupang,ID,2022-07-12 00:57:45,-10.1667,123.5833,79.45,60,32,14.81
84,Bacolod,PH,2022-07-12 00:57:32,10.6667,122.95,80.08,86,100,9.75
85,Tokur,RU,2022-07-12 00:57:48,53.1333,132.9,67.91,65,100,1.59
86,Cidreira,BR,2022-07-12 00:57:49,-30.1811,-50.2056,65.55,85,100,9.53
87,Jamestown,US,2022-07-12 00:57:50,42.097,-79.2353,78.94,63,25,1.01
88,Beinamar,TD,2022-07-12 00:58:51,8.6698,15.3813,73.76,86,100,4.05
89,Padang,ID,2022-07-12 00:57:59,-0.9492,100.3543,75.25,81,71,2.82
90,Saryg-Sep,RU,2022-07-12 00:58:52,51.5,95.6,64.6,44,100,2.33
91,Ancud,CL,2022-07-12 00:58:53,-41.8697,-73.8203,44.22,91,100,25.43
92,Faanui,PF,2022-07-12 00:55:39,-16.4833,-151.75,78.17,73,1,8.03
93,Namatanai,PG,2022-07-12 00:58:55,-3.6667,152.4333,85.28,66,11,9.33
94,Qaanaaq,GL,2022-07-12 00:58:56,77.484,-69.3632,43.12,80,89,3.87
95,Talnakh,RU,2022-07-12 00:58:30,69.4865,88.3972,47.21,56,46,20.49
96,Naze,JP,2022-07-12 00:58:58,28.3667,129.4833,83.32,77,89,7.63
97,Dikson,RU,2022-07-12 00:58:59,73.5069,80.5464,37.54,93,100,7.18
98,Hofn,IS,2022-07-12 00:59:01,64.2539,-15.2082,53.1,85,100,11.23
99,Yellowknife,CA,2022-07-12 00:58:48,62.456,-114.3525,73.92,46,20,10.36
100,Narsaq,GL,2022-07-12 00:59:04,60.9167,-46.05,41.63,90,31,4.16
101,Mmathubudukwane,BW,2022-07-12 00:59:05,-24.6,26.4333,52.65,33,0,5.01
102,Belaya Gora,RU,2022-07-12 00:59:08,68.5333,146.4167,75.47,53,97,6.71
103,Mataura,NZ,2022-07-12 00:59:10,-46.1927,168.8643,45.48,87,100,10.6
104,Calatayud,ES,2022-07-12 00:57:39,41.3535,-1.6432,76.82,48,4,1.97
105,Tuatapere,NZ,2022-07-12 00:59:12,-46.1333,167.6833,46.09,78,100,10.63
106,Carnarvon,AU,2022-07-12 00:59:12,-24.8667,113.6333,65.52,52,0,8.77
107,Esperance,AU,2022-07-12 00:59:14,-33.8667,121.9,54.36,70,0,16.4
108,Fortuna,US,2022-07-12 00:59:15,40.5982,-124.1573,77.86,69,20,3.0
109,Victoria,HK,2022-07-12 00:57:51,22.2855,114.1577,89.96,80,6,5.99
110,Sungairaya,ID,2022-07-12 00:59:16,0.7,108.9,81.84,81,100,2.55
111,Luderitz,NA,2022-07-12 00:59:17,-26.6481,15.1594,55.2,68,0,14.81
112,Miandrivazo,MG,2022-07-12 00:59:18,-19.5167,45.4667,63.39,63,0,4.9
113,Karasjok,NO,2022-07-12 00:59:19,69.4719,25.5112,57.4,86,100,2.53
114,Port Moresby,PG,2022-07-12 00:58:55,-9.4431,147.1797,85.42,66,20,8.05
115,Tucuman,AR,2022-07-12 00:59:22,-26.8241,-65.2226,44.6,49,0,3.44
116,Saldanha,ZA,2022-07-12 00:59:22,-33.0117,17.9442,53.65,84,23,7.83
117,Yar-Sale,RU,2022-07-12 00:59:23,66.8333,70.8333,52.81,61,73,3.11
118,Atuona,PF,2022-07-12 00:59:24,-9.8,-139.0333,77.43,74,18,16.91
119,Broken Hill,AU,2022-07-12 00:59:25,-31.95,141.4333,50.61,63,99,7.47
120,Dalbandin,PK,2022-07-12 00:59:26,28.8947,64.4101,81.84,51,100,6.33
121,Gornopravdinsk,RU,2022-07-12 00:59:26,60.05,69.9,61.0,70,100,4.16
122,Kerema,PG,2022-07-12 00:59:34,-7.9631,145.7785,82.94,73,10,6.69
123,Isahaya,JP,2022-07-12 00:59:28,32.8411,130.0431,83.53,79,75,4.61
124,Palana,RU,2022-07-12 00:59:36,59.1167,159.9667,57.11,79,75,6.49
125,Nantucket,US,2022-07-12 00:59:37,41.2835,-70.0995,70.0,85,0,17.6
126,Touros,BR,2022-07-12 00:59:37,-5.1989,-35.4608,74.46,90,66,10.16
127,Durres,AL,2022-07-12 00:59:39,41.3231,19.4414,60.98,58,0,6.49
128,Barinas,VE,2022-07-12 00:59:39,8.6226,-70.2075,82.44,74,52,5.75
129,Port Elizabeth,ZA,2022-07-12 00:59:40,-33.918,25.5701,55.69,79,0,11.5
130,Warah,PK,2022-07-12 00:59:42,27.4481,67.7978,90.28,64,4,4.9
131,Urumqi,CN,2022-07-12 01:00:50,43.801,87.6005,76.15,29,0,13.42
132,Kavaratti,IN,2022-07-12 01:00:51,10.5669,72.642,81.48,77,100,18.12
133,Cabo San Lucas,MX,2022-07-12 01:00:52,22.8909,-109.9124,89.62,62,53,12.8
134,Doha,QA,2022-07-12 00:58:47,25.2867,51.5333,91.38,70,0,5.75
135,Qandala,SO,2022-07-12 01:00:54,11.472,49.8728,84.33,51,90,13.04
136,Iqaluit,CA,2022-07-12 01:00:55,63.7506,-68.5145,53.85,48,100,3.83
137,Bluefield,US,2022-07-12 01:00:56,37.2698,-81.2223,71.78,80,0,3.42
138,Puerto Ayora,EC,2022-07-12 01:00:57,-0.7393,-90.3518,70.56,88,61,7.0
139,Lake City,US,2022-07-12 01:01:00,30.1897,-82.6393,78.51,85,99,3.94
140,Bengkulu,ID,2022-07-12 00:58:07,-3.8004,102.2655,76.59,85,17,3.62
141,Cloquet,US,2022-07-12 01:01:01,46.7216,-92.4594,67.59,85,100,11.5
142,Rio Grande,BR,2022-07-12 01:01:03,-32.035,-52.0986,53.83,93,100,22.19
143,Sept-Iles,CA,2022-07-12 01:01:04,50.2001,-66.3821,56.05,96,100,9.22
144,Chulman,RU,2022-07-12 01:01:05,56.8479,124.9104,61.57,83,100,4.56
145,Mrakovo,RU,2022-07-12 01:01:06,52.7161,56.6244,62.67,91,0,3.85
146,Manaus,BR,2022-07-12 00:56:50,-3.1019,-60.025,82.89,74,20,3.44
147,Lavrentiya,RU,2022-07-12 01:00:01,65.5833,-171.0,43.2,93,100,2.93
148,Hilo,US,2022-07-12 00:56:24,19.7297,-155.09,85.28,76,89,5.01
149,Huarmey,PE,2022-07-12 01:01:09,-10.0681,-78.1522,62.22,85,3,10.54
150,Bilibino,RU,2022-07-12 01:01:10,68.0546,166.4372,71.76,39,100,4.63
151,Urengoy,RU,2022-07-12 01:01:11,65.9667,78.3667,54.1,55,6,12.84
152,Paamiut,GL,2022-07-12 01:01:20,61.994,-49.6678,39.11,94,44,11.36
153,Gigmoto,PH,2022-07-12 01:01:26,13.7796,124.39,83.48,79,100,3.83
154,Kruisfontein,ZA,2022-07-12 01:01:27,-34.0033,24.7314,50.2,80,0,6.26
155,New Norfolk,AU,2022-07-12 01:01:29,-42.7826,147.0587,52.92,68,32,1.03
156,Polunochnoye,RU,2022-07-12 01:01:30,60.8697,60.4153,63.64,84,20,3.53
157,Carayao,PY,2022-07-12 01:01:31,-25.1833,-56.4,62.78,96,100,8.61
158,Khasan,RU,2022-07-12 01:01:31,42.4308,130.6434,68.81,87,100,4.38
159,Sun City West,US,2022-07-12 01:01:32,33.662,-112.3413,114.1,13,20,19.57
160,Ketchikan,US,2022-07-12 01:01:34,55.3422,-131.6461,57.15,73,88,4.61
161,Zarichne,UA,2022-07-12 01:01:34,51.8126,26.129,51.66,89,100,8.95
162,Constitucion,CL,2022-07-12 01:01:35,-35.3333,-72.4167,47.79,83,30,1.81
163,Souillac,MU,2022-07-12 01:00:34,-20.5167,57.5167,69.84,65,0,16.24
164,Monforte De Lemos,ES,2022-07-12 01:01:36,42.5216,-7.5142,66.67,77,5,1.54
165,Macusani,PE,2022-07-12 01:01:37,-14.0833,-70.4333,36.45,83,18,3.78
166,Tikhvin,RU,2022-07-12 01:01:38,59.6451,33.5294,62.22,98,47,5.41
167,Honiara,SB,2022-07-12 01:00:06,-9.4333,159.95,87.1,59,3,5.79
168,Laguna,US,2022-07-12 01:01:39,38.421,-121.4238,104.45,27,0,13.8
169,Warmbad,NA,2022-07-12 01:00:20,-28.45,18.7333,50.13,55,0,8.05
170,East London,ZA,2022-07-12 00:57:49,-33.0153,27.9116,58.33,71,0,6.8
171,Nanortalik,GL,2022-07-12 01:01:42,60.1432,-45.2371,41.0,90,99,10.18
172,Port Blair,IN,2022-07-12 01:01:43,11.6667,92.75,82.02,82,100,20.02
173,Miri,MY,2022-07-12 01:01:44,4.4148,114.0089,80.06,73,100,4.03
174,Mocuba,MZ,2022-07-12 01:01:45,-16.8392,36.9856,61.3,95,9,3.76
175,Pontianak,ID,2022-07-12 01:01:46,-0.0333,109.3333,78.78,88,20,0.0
176,Butte,US,2022-07-12 01:01:28,39.6499,-121.5677,103.91,21,0,7.92
177,Gat,IL,2022-07-12 01:01:47,31.61,34.7642,74.08,81,0,0.36
178,Nikolskoye,RU,2022-07-12 01:02:48,59.7035,30.7861,62.8,99,99,7.49
179,Kungurtug,RU,2022-07-12 01:02:49,50.5994,97.5228,60.42,55,48,0.74
180,Kirillov,RU,2022-07-12 01:02:50,59.863,38.3813,61.95,94,2,7.7
181,Tisul,RU,2022-07-12 01:02:51,55.7611,88.3122,59.32,66,0,2.44
182,Ambilobe,MG,2022-07-12 01:02:52,-13.2,49.05,63.63,77,5,3.62
183,Poum,NC,2022-07-12 01:02:53,-20.2333,164.0167,73.87,70,89,5.48
184,Port Hardy,CA,2022-07-12 01:02:54,50.6996,-127.4199,59.02,96,100,7.61
185,Aykhal,RU,2022-07-12 01:02:54,66.0,111.5,47.53,89,100,5.73
186,Tam Ky,VN,2022-07-12 01:02:55,15.5667,108.4833,83.08,76,24,2.62
187,Taguatinga,BR,2022-07-12 01:02:56,-12.3857,-46.5711,69.58,40,0,5.86
188,Knoxville,US,2022-07-12 01:02:57,35.9606,-83.9207,80.89,81,0,0.0
189,Thompson,CA,2022-07-12 01:02:58,55.7435,-97.8558,67.57,57,86,8.05
190,Gazanjyk,TM,2022-07-12 01:02:58,39.2446,55.5154,78.89,24,0,12.12
191,Bardiyah,LY,2022-07-12 01:02:59,31.7561,25.0865,75.06,67,0,6.98
192,Georgetown,MY,2022-07-12 01:03:00,5.4112,100.3354,78.73,95,40,1.14
193,Galle,LK,2022-07-12 01:03:01,6.0367,80.217,79.38,83,94,12.97
194,Mayo,US,2022-07-12 01:03:02,38.8876,-76.5119,77.95,67,0,5.75
195,Ponta Delgada,PT,2022-07-12 01:01:06,37.7333,-25.6667,71.51,77,40,5.75
196,Fort Nelson,CA,2022-07-12 01:03:04,58.8053,-122.7002,72.39,36,19,5.7
197,San Quintin,MX,2022-07-12 01:03:05,30.4833,-115.95,69.15,75,53,14.65
198,Road Town,VG,2022-07-12 01:01:28,18.4167,-64.6167,82.44,78,40,12.66
199,Morristown,US,2022-07-12 01:03:06,36.214,-83.2949,79.5,76,0,0.0
200,Axim,GH,2022-07-12 00:59:05,4.8699,-2.2405,75.7,84,100,10.54
201,Karlsruhe,DE,2022-07-12 01:00:16,49.0047,8.3858,64.92,74,100,3.91
202,Lompoc,US,2022-07-12 01:03:09,34.6391,-120.4579,85.01,80,0,13.8
203,Bay City,US,2022-07-12 01:03:10,43.5945,-83.8889,77.32,77,75,12.66
204,Konevo,RU,2022-07-12 01:03:10,62.1215,39.3192,61.54,92,24,4.63
205,Torbay,CA,2022-07-12 01:03:11,47.6666,-52.7314,62.28,67,91,7.0
206,Chunskiy,RU,2022-07-12 00:59:38,56.0815,99.6342,61.16,86,84,4.38
207,Rundu,NA,2022-07-12 01:03:19,-17.9333,19.7667,52.07,52,4,5.46
208,Sobolevo,RU,2022-07-12 01:03:19,54.4299,31.8996,59.79,98,100,11.45
209,Izhevskoye,RU,2022-07-12 01:03:22,54.5567,40.8703,67.51,76,100,12.68
210,Itoman,JP,2022-07-12 01:03:23,26.1247,127.6694,86.4,79,75,4.61
211,Balancan,MX,2022-07-12 01:03:23,17.8,-91.5333,84.6,68,100,3.85
212,San Patricio,US,2022-07-12 01:03:24,28.017,-97.5169,93.18,49,12,14.65
213,Airai,TL,2022-07-12 01:03:25,-8.9266,125.4092,62.51,73,71,3.62
214,Shelburne,CA,2022-07-12 01:03:26,44.0787,-80.2041,72.23,50,100,15.35
215,Thinadhoo,MV,2022-07-12 01:03:27,0.5333,72.9333,81.64,73,93,6.42
216,Tual,ID,2022-07-12 01:03:29,-5.6667,132.75,79.11,80,100,18.12
217,Bowen,AU,2022-07-12 01:03:30,-20.0167,148.2333,67.78,68,90,3.71
218,Saint-Pierre,RE,2022-07-12 01:03:31,-21.3393,55.4781,69.91,73,0,6.91
219,Hobyo,SO,2022-07-12 01:03:31,5.3505,48.5268,76.51,78,81,18.92
220,Neustadt,DE,2022-07-12 01:00:44,49.7117,12.0872,56.28,88,83,2.84
221,Zhangye,CN,2022-07-12 01:01:02,38.9342,100.4517,78.73,40,13,6.93
222,Bukoba,TZ,2022-07-12 01:00:18,-1.3317,31.8122,69.44,65,96,10.51
223,Brits,ZA,2022-07-12 01:03:35,-25.6347,27.7802,50.59,32,0,2.84
224,Luklukan,PH,2022-07-12 01:04:36,14.3254,122.7124,82.44,86,100,5.03
225,Salalah,OM,2022-07-12 01:04:37,17.0151,54.0924,77.09,94,100,9.22
226,Kawalu,ID,2022-07-12 01:04:38,-7.3817,108.2082,75.52,88,57,2.17
227,Vila Franca Do Campo,PT,2022-07-12 01:04:40,37.7167,-25.4333,71.2,88,100,7.54
228,Abong Mbang,CM,2022-07-12 01:04:42,3.9833,13.1833,66.61,96,100,2.01
229,Santa Maria,BR,2022-07-12 01:01:46,-29.6842,-53.8069,53.02,93,100,11.12
230,Srednekolymsk,RU,2022-07-12 01:04:43,67.45,153.6833,89.13,38,41,11.68
231,Altamont,US,2022-07-12 01:02:08,42.2068,-121.7372,94.89,15,0,5.99
232,Grindavik,IS,2022-07-12 01:03:04,63.8424,-22.4338,52.27,93,75,12.66
233,Ilulissat,GL,2022-07-12 01:04:52,69.2167,-51.1,36.52,88,30,3.11
234,Edmonton,CA,2022-07-12 01:04:25,53.5501,-113.4687,76.15,65,0,5.35
235,Hithadhoo,MV,2022-07-12 01:04:53,-0.6,73.0833,82.2,74,19,7.45
236,Port-Cartier,CA,2022-07-12 01:04:54,50.0334,-66.8654,55.74,99,100,7.31
237,Black Diamond,US,2022-07-12 01:04:55,47.3087,-122.0032,87.37,45,8,3.0
238,Aswan,EG,2022-07-12 01:04:56,24.0934,32.907,87.12,29,6,14.56
239,Camana,PE,2022-07-12 01:04:57,-16.6228,-72.7111,60.94,85,98,10.85
240,Manggar,ID,2022-07-12 01:04:58,-2.8833,108.2667,83.23,78,91,7.87
241,Amli,IN,2022-07-12 01:04:59,20.2833,73.0167,75.74,96,100,9.37
242,Asuncion,PY,2022-07-12 01:04:59,-25.3007,-57.6359,60.24,88,100,20.71
243,Hambantota,LK,2022-07-12 01:04:08,6.1241,81.1185,75.54,94,40,3.44
244,Sarandi,BR,2022-07-12 01:04:04,-23.4436,-51.8739,67.8,47,100,8.84
245,Disna,BY,2022-07-12 01:05:02,55.568,28.1971,57.61,98,100,15.17
246,Umtata,ZA,2022-07-12 01:02:23,-31.5889,28.7844,46.42,67,0,3.11
247,Khani,GE,2022-07-12 01:05:04,41.9563,42.9566,60.37,98,99,0.63
248,New Haven,US,2022-07-12 01:05:05,41.4001,-72.9329,74.19,70,0,9.22
249,Caravelas,BR,2022-07-12 01:05:05,-17.7125,-39.2481,69.67,92,2,5.19
250,Salta,AR,2022-07-12 01:05:06,-24.7859,-65.4117,42.58,61,0,1.99
251,Beringovskiy,RU,2022-07-12 01:00:45,63.05,179.3167,49.44,85,34,7.43
252,Ati,TD,2022-07-12 01:05:07,13.2154,18.3353,89.44,33,100,8.57
253,Pochutla,MX,2022-07-12 01:05:08,15.7432,-96.4661,80.82,85,100,4.54
254,Slave Lake,CA,2022-07-12 01:04:32,55.2834,-114.769,71.06,45,3,8.03
255,Denpasar,ID,2022-07-12 01:05:09,-8.65,115.2167,80.26,88,40,18.41
256,Bugiri,UG,2022-07-12 01:05:10,0.5714,33.7417,65.73,76,86,1.5
257,Kavieng,PG,2022-07-12 01:05:11,-2.5744,150.7967,84.85,69,40,11.86
258,Phalaborwa,ZA,2022-07-12 01:05:12,-23.943,31.1411,60.4,62,5,7.47
259,Teguldet,RU,2022-07-12 01:05:13,57.3064,88.1667,62.42,62,25,3.85
260,Los Llanos De Aridane,ES,2022-07-12 01:04:38,28.6585,-17.9182,69.55,92,75,14.97
261,Krasnyy Chikoy,RU,2022-07-12 01:05:14,50.3643,108.7512,59.11,84,93,0.83
262,Marsala,IT,2022-07-12 01:01:42,37.7966,12.4352,74.93,70,0,9.22
263,Mandurah,AU,2022-07-12 01:05:16,-32.55,115.7,53.91,67,1,11.25
264,Muros,ES,2022-07-12 01:01:44,42.7762,-9.0603,69.55,65,0,6.8
265,Norman Wells,CA,2022-07-12 01:05:17,65.282,-126.8329,72.18,53,100,6.46
266,La Union,PE,2022-07-12 01:05:18,-5.4,-80.75,64.89,73,9,16.46
267,Nsanje,MW,2022-07-12 01:05:19,-16.92,35.262,67.08,80,99,3.18
268,Codrington,AU,2022-07-12 01:05:19,-38.2667,141.9667,52.05,70,95,2.77
269,Novodugino,RU,2022-07-12 01:02:34,55.6305,34.2842,62.38,92,100,17.52
270,Eenhana,NA,2022-07-12 01:05:21,-17.4667,16.3333,55.76,40,0,9.13
271,Kjollefjord,NO,2022-07-12 01:05:21,70.9457,27.3465,51.62,93,20,1.14
272,Nuuk,GL,2022-07-12 01:05:01,64.1835,-51.7216,38.01,93,100,3.44
273,Adrar,MR,2022-07-12 01:05:22,20.5022,-10.0711,95.45,10,5,5.79
274,Solton,RU,2022-07-12 01:06:23,52.8429,86.4787,61.93,76,0,5.61
275,Okhotsk,RU,2022-07-12 01:06:24,59.3833,143.3,63.07,87,95,4.52
276,Bani,DO,2022-07-12 01:06:25,18.2833,-70.3333,82.85,85,91,7.67
277,Skibbereen,IE,2022-07-12 01:06:26,51.55,-9.2667,64.11,81,100,5.88
278,Tolbazy,RU,2022-07-12 01:03:28,54.0241,55.8825,65.03,83,0,3.91
279,Willmar,US,2022-07-12 01:06:27,45.1219,-95.0433,80.55,47,40,17.27
280,Pionerskiy,RU,2022-07-12 01:06:27,54.9508,20.2275,62.74,80,100,19.69
281,Rawson,AR,2022-07-12 01:06:28,-43.3002,-65.1023,39.4,66,0,10.76
282,Lorengau,PG,2022-07-12 01:06:29,-2.0226,147.2712,82.53,80,29,11.27
